gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
rpoC,rpoC,DNA-directed RNA polymerase subunit beta',DNA-directed RNA polymerase subunit beta',rpoC / DNA-directed RNA polymerase subunit beta',196.474642389723,4.09172155387551,1.50310736409565,2.7221751763137,0.00648537545117565,0.172137253500696,Not significant,gene_and_product,rpoC,CDS,COG0086,2.7.7.6
ypdF,ypdF,Aminopeptidase YpdF,Aminopeptidase YpdF,ypdF / Aminopeptidase YpdF,41.8879972666991,9.6510889739209,3.53089279898563,2.73332823264799,0.00626978162615722,0.172137253500696,Not significant,gene_and_product,ypdF,CDS,COG0006,3.4.11.-
clsA_2,clsA_2,Major cardiolipin synthase ClsA,Major cardiolipin synthase ClsA,clsA_2 / Major cardiolipin synthase ClsA,3686.38628712571,-1.01456982089082,0.372060953522399,-2.72689141734874,0.00639340741095224,0.172137253500696,Not significant,gene_and_product,clsA_2,CDS,COG1502,2.7.8.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,1973.40089171258,1.19936554108545,0.440037198380975,2.72560034810298,0.00641846625483096,0.172137253500696,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,2380.51300777386,-0.926755225571236,0.345235695189804,-2.68441310815709,0.00726572671151689,0.188688697297527,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,7869.98853285495,0.731730107020048,0.273031822003087,2.68001766845981,0.00736182742968441,0.188688697297527,Not significant,product_only,hypothetical protein,CDS,,
bglK,bglK,Beta-glucoside kinase,Beta-glucoside kinase,bglK / Beta-glucoside kinase,9651.55380155878,0.484933876430443,0.181276117017941,2.67511178200296,0.00747043373719456,0.188688697297527,Not significant,gene_and_product,bglK,CDS,COG1940,2.7.1.85
Alpha-monoglucosyldiacylglycerol synthase,,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,4440.86846662179,-1.01174644522534,0.384385600910632,-2.63211328111265,0.0084855564482499,0.207630959343115,Not significant,product_only,Alpha-monoglucosyldiacylglycerol synthase,CDS,COG0438,2.4.1.337
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,2485.66284790366,0.883471287527705,0.335302298475293,2.63485007870534,0.00841744526794482,0.207630959343115,Not significant,product_only,hypothetical protein,CDS,,
rpmF_2,rpmF_2,50S ribosomal protein L32,50S ribosomal protein L32,rpmF_2 / 50S ribosomal protein L32,5815.07402282543,-0.779078782817572,0.298708523744319,-2.60815718631594,0.00910311421661468,0.21599207368513,Not significant,gene_and_product,rpmF_2,CDS,COG0333,
mtlF_1,mtlF_1,Mannitol-specific phosphotransferase enzyme IIA component,Mannitol-specific phosphotransferase enzyme IIA compone,mtlF_1 / Mannitol-specific phosphotransferase enzyme IIA compone,4857.53060272342,0.903738492729386,0.345992392592328,2.6120183913819,0.00900094118827427,0.21599207368513,Not significant,gene_and_product,mtlF_1,CDS,COG2213,
glnQ_1,glnQ_1,Glutamine transport ATP-binding protein GlnQ,Glutamine transport ATP-binding protein GlnQ,glnQ_1 / Glutamine transport ATP-binding protein GlnQ,169.731640419042,-4.41123474409328,1.70302706706872,-2.59023172878043,0.00959113450624338,0.224174875175778,Not significant,gene_and_product,glnQ_1,CDS,COG1126,3.6.3.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5835.24177060396,0.721845397180051,0.279836451789849,2.57952597870323,0.0098936016639492,0.227843826555065,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,170.34968872698,-2.49786529308775,0.97408893086698,-2.56430928833628,0.0103381375629501,0.234630774254781,Not significant,product_only,hypothetical protein,CDS,,
norG,norG,HTH-type transcriptional regulator NorG,HTH-type transcriptional regulator NorG,norG / HTH-type transcriptional regulator NorG,6596.12959167147,0.592241897809051,0.232963914546601,2.54220443952311,0.0110155721297229,0.246434085073515,Not significant,gene_and_product,norG,CDS,COG1167,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,50.7730808538902,9.03424177976364,3.56143935477456,2.53668275093667,0.011190831620218,0.24682876503185,Not significant,product_only,hypothetical protein,CDS,,
pspA,pspA,Phosphoserine phosphatase 1,Phosphoserine phosphatase 1,pspA / Phosphoserine phosphatase 1,55.5556010901263,-8.86960145320345,3.509888460306,-2.5270322842197,0.0115030928007417,0.250192268416133,Not significant,gene_and_product,pspA,CDS,COG0406,3.1.3.3
pphA,pphA,Serine/threonine-protein phosphatase 1,Serine/threonine-protein phosphatase 1,pphA / Serine/threonine-protein phosphatase 1,9014.29569051296,0.804159605847461,0.322614619151305,2.4926322556707,0.0126800097785066,0.261274938330806,Not significant,gene_and_product,pphA,CDS,COG0639,3.1.3.16
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,46.0527059550083,9.78739562218247,3.90751806550918,2.50476017208307,0.0122534448405274,0.261274938330806,Not significant,product_only,hypothetical protein,CDS,,
dprA,dprA,DNA processing protein DprA,DNA processing protein DprA,dprA / DNA processing protein DprA,3315.67080854919,-1.07968018192584,0.432346706825018,-2.49725547779599,0.0125158749816816,0.261274938330806,Not significant,gene_and_product,dprA,CDS,COG0758,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,15909.3306984157,0.54818792637369,0.219742260925498,2.49468592916475,0.0126068659945918,0.261274938330806,Not significant,product_only,hypothetical protein,CDS,,
Acetyltransferase,,Acetyltransferase,Acetyltransferase,Acetyltransferase,41.7181092593175,9.64472774284162,3.9075920058163,2.46820234264115,0.0135793535767674,0.276172307808022,Not significant,product_only,Acetyltransferase,CDS,,2.3.1.-
npr_1,npr_1,NADH peroxidase,NADH peroxidase,npr_1 / NADH peroxidase,67.720564776925,8.1594178869371,3.32747353162889,2.45213607542742,0.0142010947377636,0.285114286658177,Not significant,gene_and_product,npr_1,CDS,COG0446,1.11.1.1
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,10168.2855790105,-0.443765033951627,0.18201106937695,-2.43812112895495,0.0147638259514152,0.292660144809065,Not significant,product_only,hypothetical protein,CDS,,
cvfB,cvfB,Conserved virulence factor B,Conserved virulence factor B,cvfB / Conserved virulence factor B,40.4687124891227,5.52051820810242,2.2752313488004,2.42635466982866,0.015251357362466,0.298545320370271,Not significant,gene_and_product,cvfB,CDS,,
putative ABC transporter ATP-binding protein,,putative ABC transporter ATP-binding protein,putative ABC transporter ATP-binding protein,putative ABC transporter ATP-binding protein,7716.42094096759,-0.917520276330851,0.380733156122258,-2.40987752597051,0.0159578764561527,0.308518944818953,Not significant,product_only,putative ABC transporter ATP-binding protein,CDS,COG1132,
rimI,rimI,[Ribosomal protein S18]-alanine N-acetyltransferase,[Ribosomal protein S18]-alanine N-acetyltransferase,rimI / [Ribosomal protein S18]-alanine N-acetyltransferase,111.261148103479,4.24744217892765,1.77528510087315,2.3925408808076,0.0167321639686535,0.316504707440619,Not significant,gene_and_product,rimI,CDS,COG0456,2.3.1.266
pglH_2,pglH_2,GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase,GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-und,pglH_2 / GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-und,784.879234735519,1.69158001279365,0.707300817793705,2.39159911912758,0.0167751537149242,0.316504707440619,Not significant,gene_and_product,pglH_2,CDS,COG0438,2.4.1.292
fhs1,fhs1,Formate--tetrahydrofolate ligase 1,Formate--tetrahydrofolate ligase 1,fhs1 / Formate--tetrahydrofolate ligase 1,1255.11045016364,1.0056980223422,0.422880764943871,2.37820706381783,0.0173970536616132,0.321231136881848,Not significant,gene_and_product,fhs1,CDS,,6.3.4.3
epsN,epsN,Putative pyridoxal phosphate-dependent aminotransferase EpsN,Putative pyridoxal phosphate-dependent aminotransferase,epsN / Putative pyridoxal phosphate-dependent aminotransferase,373.714819305645,-1.8013404595433,0.757698511973406,-2.37738418523715,0.0174359173914158,0.321231136881848,Not significant,gene_and_product,epsN,CDS,COG0399,2.6.1.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5640.57443905629,-0.782718685769454,0.330717946613767,-2.36672576672581,0.0179462248845918,0.326314036266718,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,38.7221505910598,-9.2332493218714,3.90745673039931,-2.36298184699997,0.0181285575703732,0.326314036266718,Not significant,product_only,hypothetical protein,CDS,,
pepV,pepV,Beta-Ala-Xaa dipeptidase,Beta-Ala-Xaa dipeptidase,pepV / Beta-Ala-Xaa dipeptidase,383.026271025108,-2.19792341252408,0.937197947113857,-2.3452072417494,0.0190165062231044,0.334605042082939,Not significant,gene_and_product,pepV,CDS,,3.4.13.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,7178.40830869627,0.788456049659899,0.336008134872238,2.34653857401309,0.018948704707291,0.334605042082939,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,2258.42355228991,0.916271342333989,0.398234664645855,2.30083270914856,0.0214010888298317,0.372378945639071,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,6494.83941915305,-0.673577613944644,0.294672979043951,-2.28584791225184,0.0222631575878329,0.383122030577432,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,50.712815939098,7.89237949716756,3.50321653262843,2.25289513898417,0.0242657614430139,0.410986030139059,Not significant,product_only,hypothetical protein,CDS,,
pflB,pflB,Formate acetyltransferase,Formate acetyltransferase,pflB / Formate acetyltransferase,8820.06779208795,-0.592021872645637,0.263043924099348,-2.25065784991118,0.0244072163492544,0.410986030139059,Not significant,gene_and_product,pflB,CDS,,2.3.1.54
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,2247.38495573133,1.03205811844984,0.459686794046868,2.2451332772997,0.024759577884465,0.412484031564598,Not significant,product_only,hypothetical protein,CDS,,
rlmA,rlmA,23S rRNA (guanine(745)-N(1))-methyltransferase,23S rRNA (guanine(745)-N(1))-methyltransferase,rlmA / 23S rRNA (guanine(745)-N(1))-methyltransferase,842.585768120655,-1.24279497571586,0.55824620854914,-2.22624884268508,0.0259975180195117,0.42854856019532,Not significant,gene_and_product,rlmA,CDS,COG0500,2.1.1.187
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,3078.15742536835,-0.599693621322387,0.27327250161245,-2.19448944838534,0.028200241687281,0.448151992406491,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,3237.99138473783,0.864261090197964,0.394159925246172,2.1926660597426,0.0283314477958126,0.448151992406491,Not significant,product_only,hypothetical protein,CDS,,
lgt,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,Phosphatidylglycerol--prolipoprotein diacylglyceryl tra,lgt / Phosphatidylglycerol--prolipoprotein diacylglyceryl tra,24.7586495833453,-8.58814619631496,3.90782327116546,-2.19768029421496,0.0279718967886848,0.448151992406491,Not significant,gene_and_product,lgt,CDS,COG0682,2.5.1.145
PhoH-like protein,,PhoH-like protein,PhoH-like protein,PhoH-like protein,3024.11984996163,0.825674916056529,0.376282770097442,2.1942937111968,0.0282143012718001,0.448151992406491,Not significant,product_only,PhoH-like protein,CDS,COG1702,
pyk,pyk,Pyruvate kinase,Pyruvate kinase,pyk / Pyruvate kinase,54.5906299565018,-6.4004069268547,2.93395408038743,-2.18149526253306,0.0291468044820036,0.456438958188176,Not significant,gene_and_product,pyk,CDS,COG0469,2.7.1.40
rluD_2,rluD_2,Ribosomal large subunit pseudouridine synthase D,Ribosomal large subunit pseudouridine synthase D,rluD_2 / Ribosomal large subunit pseudouridine synthase D,23.152832093549,-8.49139864405334,3.90789377898512,-2.17288368729883,0.0297890725282775,0.461878094844382,Not significant,gene_and_product,rluD_2,CDS,COG0564,5.4.99.23
araD,araD,L-ribulose-5-phosphate 4-epimerase AraD,L-ribulose-5-phosphate 4-epimerase AraD,araD / L-ribulose-5-phosphate 4-epimerase AraD,41.794972449861,7.85454316616638,3.65837638120125,2.14700248080743,0.0317930841149361,0.484116858292077,Not significant,gene_and_product,araD,CDS,COG0235,5.1.3.4
ycjP,ycjP,Inner membrane ABC transporter permease protein YcjP,Inner membrane ABC transporter permease protein YcjP,ycjP / Inner membrane ABC transporter permease protein YcjP,3224.98807083911,-1.12245139320508,0.522947814614973,-2.14639274098792,0.0318416579847279,0.484116858292077,Not significant,gene_and_product,ycjP,CDS,COG0395,
