gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
Putative peptidyl-prolyl cis-trans isomerase,,Putative peptidyl-prolyl cis-trans isomerase,Putative peptidyl-prolyl cis-trans isomerase,Putative peptidyl-prolyl cis-trans isomerase,3384.39858903692,0.997641031510931,0.37833249631013,2.6369424811268,0.00836570153605422,0.190020934890374,Not significant,product_only,Putative peptidyl-prolyl cis-trans isomerase,CDS,,5.2.1.8
yggS,yggS,Pyridoxal phosphate homeostasis protein,Pyridoxal phosphate homeostasis protein,yggS / Pyridoxal phosphate homeostasis protein,6210.68114090161,0.976189979530967,0.37165089543227,2.62663158229594,0.00862346443416787,0.19311702042714,Not significant,gene_and_product,yggS,CDS,COG0325,
Deacetylase,,Deacetylase,Deacetylase,Deacetylase,47.7568772369823,9.3463318360032,3.59856271171455,2.59724022748796,0.00939761738317975,0.204687830674737,Not significant,product_only,Deacetylase,CDS,COG3964,3.1.1.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,4459.28295752747,0.653170982726984,0.25129893646562,2.59917925604252,0.00934469613110552,0.204687830674737,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,2485.66284790366,-0.867069289158904,0.335284960018615,-2.58606675679924,0.00970781266237358,0.208586785583432,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,1915.23909697636,1.00475355054208,0.39293728271141,2.55703287712713,0.0105569239305948,0.218984039186888,Not significant,product_only,hypothetical protein,CDS,,
mprF_1,mprF_1,Phosphatidylglycerol lysyltransferase,Phosphatidylglycerol lysyltransferase,mprF_1 / Phosphatidylglycerol lysyltransferase,1715.73748908546,1.66245355424583,0.650550736080726,2.55545565017935,0.010604887432321,0.218984039186888,Not significant,gene_and_product,mprF_1,CDS,,2.3.2.3
lacD,lacD,Tagatose 1,6-diphosphate aldolase,Tagatose 1,6-diphosphate aldolase,lacD / Tagatose 1,6-diphosphate aldolase,403.667554931499,1.82547281261879,0.712758650076751,2.56113736735741,0.0104330095259016,0.218984039186888,Not significant,gene_and_product,lacD,CDS,,4.1.2.40
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,53.3763472305545,-9.84191966721512,3.90739918356798,-2.51879042934849,0.0117758722739952,0.237008062223448,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,16949.2409803356,0.728447483139959,0.289180712968681,2.51900438193764,0.0117687192083102,0.237008062223448,Not significant,product_only,hypothetical protein,CDS,,
topB_4,topB_4,DNA topoisomerase 3,DNA topoisomerase 3,topB_4 / DNA topoisomerase 3,404.590514408892,1.86605615154962,0.7437176758506,2.50909210866258,0.0121041917572068,0.240570811174486,Not significant,gene_and_product,topB_4,CDS,COG0550,5.6.2.1
araD,araD,L-ribulose-5-phosphate 4-epimerase AraD,L-ribulose-5-phosphate 4-epimerase AraD,araD / L-ribulose-5-phosphate 4-epimerase AraD,41.794972449861,-9.15718696109471,3.65654236613335,-2.50432951246729,0.0122683715811653,0.240823590296949,Not significant,gene_and_product,araD,CDS,COG0235,5.1.3.4
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5859.23714945096,-0.766889573354633,0.307777313524266,-2.49170273329509,0.0127132390215993,0.246512805418816,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,6494.83941915305,0.729511077741538,0.294668634069774,2.47569979765407,0.0132975336017215,0.246973281405061,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,50.7730808538902,-8.81355799399075,3.56153116144866,-2.47465418508533,0.0133365240419766,0.246973281405061,Not significant,product_only,hypothetical protein,CDS,,
purH,purH,Bifunctional purine biosynthesis protein PurH,Bifunctional purine biosynthesis protein PurH,purH / Bifunctional purine biosynthesis protein PurH,1901.08763008194,-3.51359919845406,1.42136524837909,-2.47198895742029,0.0134363666598819,0.246973281405061,Not significant,gene_and_product,purH,CDS,,
ptsI,ptsI,Phosphoenolpyruvate-protein phosphotransferase,Phosphoenolpyruvate-protein phosphotransferase,ptsI / Phosphoenolpyruvate-protein phosphotransferase,1731.50760211329,-4.68161305802676,1.89543718013557,-2.46993839051522,0.0135136323787675,0.246973281405061,Not significant,gene_and_product,ptsI,CDS,COG1080,2.7.3.9
ndvA,ndvA,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,Beta-(1-->2)glucan export ATP-binding/permease protein ,ndvA / Beta-(1-->2)glucan export ATP-binding/permease protein ,1944.49190715826,-0.946016382045651,0.381504974118646,-2.47969606223652,0.0131494415723903,0.246973281405061,Not significant,gene_and_product,ndvA,CDS,COG1132,7.5.2.3
mhqA,mhqA,Putative ring-cleaving dioxygenase MhqA,Putative ring-cleaving dioxygenase MhqA,mhqA / Putative ring-cleaving dioxygenase MhqA,85.5588795242197,7.84171942252244,3.1865358649685,2.46089162489309,0.0138592223326397,0.249373035446044,Not significant,gene_and_product,mhqA,CDS,COG0346,1.13.11.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,45.9556357912495,-9.59027822557763,3.90752243008278,-2.45431175308044,0.0141154548365685,0.249373035446044,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,580.263716271759,-3.22173101721604,1.31218760087581,-2.45523659503087,0.0140791890940944,0.249373035446044,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,4303.69813442584,-0.790240677058597,0.322691380128572,-2.44890544254307,0.0143291059896301,0.25036569806057,Not significant,product_only,hypothetical protein,CDS,,
Putative universal stress protein,,Putative universal stress protein,Putative universal stress protein,Putative universal stress protein,1283.86277073031,1.3286020979563,0.543429880852541,2.44484549850658,0.0144914206431066,0.250449552418908,Not significant,product_only,Putative universal stress protein,CDS,,
purQ,purQ,Phosphoribosylformylglycinamidine synthase subunit PurQ,Phosphoribosylformylglycinamidine synthase subunit PurQ,purQ / Phosphoribosylformylglycinamidine synthase subunit PurQ,409.659263602494,-3.80112892099168,1.56232615591081,-2.4329932047868,0.0149745819174695,0.253293460093367,Not significant,gene_and_product,purQ,CDS,COG0047,6.3.5.3
putative AAA domain-containing protein,,putative AAA domain-containing protein,putative AAA domain-containing protein,putative AAA domain-containing protein,8007.63381501483,0.632099242535008,0.259620431763859,2.43470530512769,0.0149039222937919,0.253293460093367,Not significant,product_only,putative AAA domain-containing protein,CDS,COG2256,
pyrDB,pyrDB,Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit,Dihydroorotate dehydrogenase B (NAD(+)), catalytic subu,pyrDB / Dihydroorotate dehydrogenase B (NAD(+)), catalytic subu,36.9689202486677,-9.47066201276485,3.90758899209085,-2.42365868875512,0.0153650386579886,0.255383274299756,Not significant,gene_and_product,pyrDB,CDS,COG0167,1.3.1.14
