gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
purC,purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase,Phosphoribosylaminoimidazole-succinocarboxamide synthas,purC / Phosphoribosylaminoimidazole-succinocarboxamide synthas,1269.96711619563,-7.67267187478127,2.5973892091238,-2.95399389811493,0.00313690208026068,0.0791747645332887,Not significant,gene_and_product,purC,CDS,COG0152,6.3.2.6
recQ_1,recQ_1,ATP-dependent DNA helicase RecQ,ATP-dependent DNA helicase RecQ,recQ_1 / ATP-dependent DNA helicase RecQ,87.1744965502295,9.31982863085272,3.16713247991861,2.94267091444568,0.00325394113083047,0.0798012204826512,Not significant,gene_and_product,recQ_1,CDS,COG0514,3.6.4.12
murA1_1,murA1_1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA1_1 / UDP-N-acetylglucosamine 1-carboxyvinyltransferase,3157.85584644295,1.30733521926466,0.444388406662297,2.94187516970519,0.00326231404488826,0.0798012204826512,Not significant,gene_and_product,murA1_1,CDS,,2.5.1.7
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,88.0563345731523,-10.4183840723411,3.58135563317456,-2.90906157875925,0.00362515447980838,0.0873332670135656,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,3448.09482209178,-0.883411125481345,0.304255625879736,-2.90351615661015,0.00368997931090278,0.0875681657363495,Not significant,product_only,hypothetical protein,CDS,,
npr_2,npr_2,NADH peroxidase,NADH peroxidase,npr_2 / NADH peroxidase,10612.2156173999,0.694577462021962,0.240034870629243,2.89365232726876,0.00380789538009296,0.089037553740409,Not significant,gene_and_product,npr_2,CDS,COG0446,1.11.1.1
agaS,agaS,D-galactosamine-6-phosphate deaminase AgaS,D-galactosamine-6-phosphate deaminase AgaS,agaS / D-galactosamine-6-phosphate deaminase AgaS,4633.61820274587,0.778050494150287,0.269822935082928,2.883559523623,0.00393208327001156,0.0906088753524402,Not significant,gene_and_product,agaS,CDS,COG2222,3.5.99.-
yclN,yclN,Petrobactin import system permease protein YclN,Petrobactin import system permease protein YclN,yclN / Petrobactin import system permease protein YclN,57.6275110331746,9.6573109926095,3.37791854567091,2.85895318730706,0.00425041503413823,0.0965451414897113,Not significant,gene_and_product,yclN,CDS,COG4606,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5859.23714945096,-0.871590386556163,0.307856266767901,-2.83116012451769,0.00463794958340255,0.10386394137479,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,84.2357370528254,-8.99463562487858,3.18611184117686,-2.8230759223933,0.00475653062363928,0.105040051272034,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,16949.2409803356,0.807080684029821,0.289193102210603,2.79080198614858,0.00525776272448353,0.114518393588066,Not significant,product_only,hypothetical protein,CDS,,
misCA,misCA,Membrane protein insertase MisCA,Membrane protein insertase MisCA,misCA / Membrane protein insertase MisCA,410.909904375819,-2.3978844981741,0.867940799588663,-2.76272817144961,0.00573204819600391,0.123161576103327,Not significant,gene_and_product,misCA,CDS,COG0706,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,4465.63870929141,-0.606125168527997,0.224505638439353,-2.6998215846224,0.00693766701188827,0.147078540652031,Not significant,product_only,hypothetical protein,CDS,,
IS30 family transposase IS1252,,IS30 family transposase IS1252,IS30 family transposase IS1252,IS30 family transposase IS1252,69.7441394793358,7.93456230341184,2.9587092694387,2.68176477674574,0.00732349340584669,0.15321519099074,Not significant,product_only,IS30 family transposase IS1252,CDS,COG2826,
ypdF,ypdF,Aminopeptidase YpdF,Aminopeptidase YpdF,ypdF / Aminopeptidase YpdF,41.8879972666991,9.35251213051178,3.53084390162113,2.64880362629957,0.00807772529921987,0.166799782152722,Not significant,gene_and_product,ypdF,CDS,COG0006,3.4.11.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,2622.66522496738,0.865906458651437,0.329585977848973,2.62725515297324,0.00860767635568246,0.175464171865835,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5640.57443905629,-0.866223684632471,0.330740121929294,-2.61904627590859,0.0088175985041773,0.177468121792936,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,4584.9224263803,-0.70113691390919,0.269533508040059,-2.60129777187104,0.00928718027882693,0.184582708041685,Not significant,product_only,hypothetical protein,CDS,,
bioY2,bioY2,Biotin transporter BioY2,Biotin transporter BioY2,bioY2 / Biotin transporter BioY2,1097.27324729011,-1.62897620263204,0.630874949987476,-2.58209048031528,0.00982038346019732,0.192770490144614,Not significant,gene_and_product,bioY2,CDS,COG1268,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,3805.95529212962,1.88702900010031,0.743437967151475,2.53824674482333,0.0111409404747932,0.207206828881137,Not significant,product_only,hypothetical protein,CDS,,
spxA_2,spxA_2,Regulatory protein Spx,Regulatory protein Spx,spxA_2 / Regulatory protein Spx,5461.88974126988,0.644203883136748,0.253545739293485,2.54077976199422,0.0110605566677582,0.207206828881137,Not significant,gene_and_product,spxA_2,CDS,COG1393,
mgtE,mgtE,Magnesium transporter MgtE,Magnesium transporter MgtE,mgtE / Magnesium transporter MgtE,1697.87500572881,-1.07379271625247,0.424742371997156,-2.52810359183957,0.011468050906629,0.207206828881137,Not significant,gene_and_product,mgtE,CDS,COG2239,
