gene_id,product_name,locus_tag_internal,ERR1801012,ERR1801013,ERR1801014,ERR1801009,ERR1801010,ERR1801011,ERR1801006,ERR1801007,ERR1801008
pphA,Serine/threonine-protein phosphatase 1,E745S_00237,9994.73211691169,7203.02267392643,6199.55957937928,6361.80962177999,7032.39336027828,7626.97682527823,12788.1343460294,6695.6818121474,17226.3508788859
yhgF,Protein YhgF,E745S_00238,797.682270415513,308.923860527964,62.8046042553876,763.321139375942,392.43466970267,451.608544948755,387.120211875272,149.167183741696,152.605318321241
Protein SprT-like protein,Protein SprT-like protein,E745S_00239,4896.36752809316,4037.85328811298,5472.51644876182,5746.51197379247,3934.2249152572,4455.47258239613,5190.57100412354,3328.99451457945,3777.39185780105
ydcF,Protein YdcF,E745S_00240,613.205362916318,407.73788998977,237.380114389007,0,457.092098120501,288.551395449299,179.076016377677,210.117215808195,0
murC,UDP-N-acetylmuramate--L-alanine ligase,E745S_00241,0,81.1315189265359,0,0,0,0,0,4.00987053069074,0
hypothetical protein,hypothetical protein,E745S_00242,0,84.2519619621719,0,0,0,0,0,22.4552749718682,0
ybhL,Inner membrane protein YbhL,E745S_00243,41.2238899439542,282.92016856433,73.4494524342668,0,0,186.107113041264,0,0,0
hypothetical protein,hypothetical protein,E745S_00252,0,0,0,0,0,0,107.094480382728,0,0
GTP cyclohydrolase 1 type 2 ,GTP cyclohydrolase 1 type 2 ,E745S_00257,167.987351521613,248.595295172334,192.671752037714,233.637078299555,1661.33670240261,1017.61320525315,387.120211875272,334.423202259608,0
pepT,Peptidase T,E745S_00258,2.06119449719771,276.679282493058,409.826654886851,576.891552924585,388.842590346124,30.7332847224106,234.37890378843,345.650839745542,531.657238022389
dagK_2,Diacylglycerol kinase,E745S_00259,1942.67581360884,3085.07801456546,2759.1446479655,2305.16583075691,2337.54564127243,2935.88239334361,2089.22019107289,2413.14008536969,2489.27169777767
hypothetical protein,hypothetical protein,E745S_00260,276.200062624493,404.617446954134,1129.41839177909,730.515933176347,2694.05951740963,377.33644020293,792.674719554128,1008.08145141565,948.450257953522
hypothetical protein,hypothetical protein,E745S_00261,90.6925578766992,0,120.286784421336,0,0,0,0,42.5046276253219,203.473757761655
hypothetical protein,hypothetical protein,E745S_00263,219.517213951556,163.303185531617,383.214534439653,109.617396325476,0,575.395386191798,173.80907471951,170.820484607426,375.770084898541
lepA,Elongation factor 4,E745S_00266,234.976172680539,112.335949282896,136.254056689654,0,304.428725467289,296.234716629902,82.5154193112824,0,938.6047535457
xerC_2,Tyrosine recombinase XerC,E745S_00267,739.968824493978,506.551919451577,559.919014209049,680.908060386716,0,713.695167442646,408.187978507939,818.013588260912,0
hypothetical protein,hypothetical protein,E745S_00270,4561.42342229853,3974.40427972171,5446.96881313251,5355.24988033876,5309.99130881439,5875.17959610082,6315.94087175188,7300.37028817557,9943.95945190025
hypothetical protein,hypothetical protein,E745S_00271,8395.24518708627,8678.99222978225,7239.56124645578,6291.39844749794,7115.01118547884,5232.3417239904,8748.39009421532,9987.7855178445,13407.9360860523
fabG_1,3-oxoacyl-[acyl-carrier-protein] reductase FabG,E745S_00273,2129.21391560523,1817.1379944187,2730.40355788253,1055.36748725039,334.063380158795,1035.54095467456,1109.56904265384,2251.14131592978,1381.65245189769
licR_1,putative licABCH operon regulator,E745S_00274,280.322451618888,924.6912862268,136.254056689654,112.817904247388,0,322.699489585311,534.594578303946,87.4151775690582,1096.13282407085
hypothetical protein,hypothetical protein,E745S_00275,7485.22781657348,5294.35168379574,7467.3609974838,8820.59983278866,8646.13501120665,7751.61736887467,12180.6804081208,4345.89768116263,6667.04740149681
srlA,PTS system glucitol/sorbitol-specific EIIC component,E745S_00276,0,135.219198210893,0,111.217650286432,0,134.884971837246,109.727951211812,56.1381874296704,0
srlE,PTS system glucitol/sorbitol-specific EIIB component,E745S_00277,4646.96299393223,2682.54086296841,3729.95480187929,4439.10448769154,4746.03484983664,3137.35614874608,4240.7658584341,3845.46583893242,3595.25002625634
srlB,PTS system glucitol/sorbitol-specific EIIA component,E745S_00279,1893.2071456761,1948.19660191541,895.231731843745,1826.68989643111,3479.82687665411,2954.66384511842,1353.60400614891,1825.29306557043,968.141266769166
prsA_1,Foldase protein PrsA,E745S_00281,830.661382370677,483.66867052358,111.770905878232,710.512758664399,627.715867556445,259.525515433689,531.961107474863,396.175208432245,260.905866807284
hypothetical protein,hypothetical protein,E745S_00282,14195.4465022006,11844.1616155957,17965.3102714945,18142.879282337,16305.3462192022,12470.0302761181,14273.4118936325,14281.5548821082,14776.4611987396
hypothetical protein,hypothetical protein,E745S_00283,8680.72062494815,7726.21695623473,7357.71906124134,7113.12885644877,6134.37352114174,4440.10594003493,7285.0581368546,9073.53503684701,13019.0386619433
hypothetical protein,hypothetical protein,E745S_00284,91.7231551252981,107.135210890169,151.156844140085,0,827.974291683894,210.010778936472,478.413867283499,178.840225668807,260.905866807284
spxA_1,Regulatory protein Spx,E745S_00286,254.557520403917,151.861561067619,0,0,14.3683174261847,135.738674190647,93.9271262373108,168.414562289011,86.9686222690946
