,ERR1801006,ERR1801007,ERR1801008,ERR1801009,ERR1801010,ERR1801011,ERR1801012,ERR1801013,ERR1801014
E745S_00645,631,183,719,520,1,332,1,0,4
E745S_00646,0,0,0,0,0,0,0,0,0
E745S_00647,5037,2845,2592,4801,4993,2161,2957,1671,1662
E745S_00648,1319,1543,338,1385,3127,1052,946,1725,988
E745S_00649,1096,1347,554,1403,902,1213,1185,1189,837
E745S_00650,0,1,0,0,1,0,0,0,1
E745S_00651,0,0,0,0,0,0,0,1,1
E745S_00652,11430,7905,3338,12026,14534,12028,8855,6989,7780
E745S_00653,524,561,4,759,300,411,1400,369,188
E745S_00654,1,0,0,1,3,3,3,14,2
E745S_00655,5,195,2,152,9,5,3,23,5
E745S_00656,0,0,0,0,0,1,1,1,0
E745S_00657,2,13,3,7,19,5,2,7,5
E745S_00658,125,0,45,185,337,195,134,0,0
E745S_00659,0,1,0,0,0,0,0,1,0
E745S_00660,0,0,0,0,0,2,0,0,0
E745S_00661,0,1,1,1,0,3,1,3,0
E745S_00662,713,1257,0,987,1011,2091,605,1327,813
E745S_00663,120,74,0,0,1,19,4,0,0
E745S_00664,3307,2844,587,3593,6355,5170,3912,3281,3089
E745S_00665,361,401,926,500,344,356,183,106,279
E745S_00666,0,0,0,0,0,0,1,0,0
E745S_00667,2,0,0,2,1,0,1,0,0
E745S_00668,66,886,469,667,1238,1614,385,681,780
E745S_00669,0,0,0,0,332,0,0,0,1
E745S_00670,104,0,0,1,0,0,0,0,140
E745S_00671,157,116,6,372,16,8,295,4,352
E745S_00672,5905,8060,3190,7698,7648,6704,2925,3265,3529
E745S_00673,1,168,1,1,6,0,0,153,1
E745S_00674,594,397,35,495,0,191,0,531,0
E745S_00675,0,0,0,0,1,0,0,0,0
E745S_00676,1,67,0,152,0,0,0,0,0
E745S_00677,0,0,0,2,0,1,1,1,0
E745S_00678,0,2,0,178,1,0,71,57,0
E745S_00679,20981,16524,11073,18459,23226,17860,18754,13602,12596
E745S_00680,0,0,0,0,0,0,0,0,0
E745S_00681,0,0,0,3,0,0,2,1,1
E745S_00682,0,0,0,30,0,0,1,1,0
E745S_00683,0,0,0,0,0,0,0,0,0
E745S_00684,349,909,89,1713,1385,741,1101,627,327
E745S_00685,104,207,0,404,74,103,0,224,0
E745S_00686,1,1,0,1,1,0,0,0,1
E745S_00687,1,38,0,133,202,137,1,115,379
E745S_00688,2,0,0,0,0,18,0,0,0
E745S_00689,5,0,0,0,0,2,0,5,2
E745S_00690,0,2,0,0,1,0,0,1,0
E745S_00691,2,2,0,0,0,0,0,0,1
E745S_00692,0,0,1,0,0,0,0,0,0
E745S_00693,3655,2489,2020,3652,947,2846,970,1690,2655
E745S_00694,235,110,210,280,1,199,229,191,0
E745S_00695,168,59,0,135,0,0,214,1,68
E745S_00696,44,113,2,0,0,50,1,0,0
E745S_00697,919,1911,999,1275,2186,1729,1009,2188,2372
E745S_00698,6015,5753,1308,4319,1519,4132,1538,2484,1558
E745S_00699,0,0,0,0,0,0,0,0,0
E745S_00700,0,1,0,1,0,0,0,1,0
E745S_00701,1,0,0,0,0,0,0,1,0
E745S_00702,0,0,0,0,0,0,0,0,0
E745S_00703,0,0,0,0,0,0,0,0,0
E745S_00704,0,33,0,143,1,211,59,170,1
E745S_00705,0,33,0,143,1,211,59,170,0
E745S_00706,4843,3758,2344,1270,1191,2273,1733,1667,899
E745S_00707,149,154,61,0,1,8,1,0,2
E745S_00708,567,557,434,343,191,628,157,412,395
E745S_00709,1387,1848,732,1878,1857,2029,1450,1339,1220
E745S_00710,0,1,0,0,0,0,1,0,0
E745S_00711,2,0,0,0,3,0,0,0,0
E745S_00712,46,0,3,3,0,0,96,160,2
E745S_00713,1,0,0,0,1,0,0,0,0
E745S_00714,214,492,0,207,0,250,312,70,0
E745S_00715,0,63,0,1,0,1,3,123,0
E745S_00716,1651,3239,408,5224,887,3974,982,731,939
E745S_00717,118,170,0,200,0,148,278,0,237
E745S_00718,52,22,0,150,0,37,0,0,120
E745S_00719,0,2,0,1,3,0,0,0,0
E745S_00720,103,199,0,235,0,50,1,296,1
E745S_00721,0,0,0,0,0,0,0,0,0
E745S_00722,0,0,0,0,0,0,0,0,1
E745S_00723,0,0,0,0,0,0,0,0,0
E745S_00724,3,2,1,2,0,2,2,1,0
E745S_00725,0,0,0,0,2,0,1,0,2
E745S_00726,302,894,192,482,612,335,183,448,548
E745S_00727,9,7,8,11,8,5,6,9,10
E745S_00728,67,0,35,0,2,0,134,0,1
E745S_00729,1,0,0,159,0,6,295,81,281
E745S_00730,343,348,99,315,335,233,359,229,437
E745S_00731,7665,7087,4373,7671,5807,6735,3779,5123,3100
E745S_00732,32132,15031,12437,21150,26779,19281,13731,8846,10617
E745S_00733,0,0,0,0,0,0,0,0,0
E745S_00734,2,1,1,4,1,0,5,3,3
E745S_00735,0,0,4,1,1,0,0,0,2
E745S_00736,3671,2643,1388,2645,3167,2877,1012,1303,2305
E745S_00737,845,1423,211,1098,1052,871,213,341,394
E745S_00738,207,134,2,6,540,3,4,1,1
E745S_00739,0,59,0,0,0,0,0,0,0
E745S_00740,0,0,0,0,0,0,0,0,0
E745S_00741,59,4,0,114,0,0,0,71,7
E745S_00742,1873,2688,1077,2474,3898,3894,1889,1963,2004
