feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_00083,3183.79432158666,-0.00240746735639431,0.235628930178273,-0.0102171976699672,0.991847997557498,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00083,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00176,1054.59479497791,0.00928270942942569,0.422902974923157,0.0219499742963794,0.982487860638984,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00176,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00178,823.288818219172,-0.0105432641713058,1.03114992547521,-0.0102247635487603,0.991841961174934,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00178,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00339,50.4198915155922,-0.0528981276006663,2.38934037785067,-0.0221392180415294,0.98233690266127,1,CDS,nanE_1,Putative N-acetylmannosamine-6-phosphate 2-epimerase,Putative N-acetylmannosamine-6-phosphate 2-epimerase,nanE_1,nanE_1 / Putative N-acetylmannosamine-6-phosphate 2-epimerase,,5.1.3.9,annotated,nanE_1 / Putative N-acetylmannosamine-6-phosphate 2-epimerase,Not significant
E745S_00451,310.467775065529,-0.00486178633468624,1.48614489728116,-0.0032714080192185,0.997389798705157,1,CDS,lspA,Lipoprotein signal peptidase,Lipoprotein signal peptidase,lspA,lspA / Lipoprotein signal peptidase,COG0597,3.4.23.36,annotated,lspA / Lipoprotein signal peptidase,Not significant
E745S_00626,102.313773118476,-0.0296167440840331,2.19905743964085,-0.0134679265535102,0.989254474184191,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00626,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00632,671.784290816723,-0.00750267703954095,0.572439960590291,-0.0131064872406956,0.989542835573777,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00632,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00727,8.09736549592518,-0.00361076374988478,1.91383419356444,-0.00188666487516344,0.998494660117742,1,CDS,NA,Calcium-transporting ATPase,Calcium-transporting ATPase,E745S_00727,Calcium-transporting ATPase,COG0474,7.2.2.10,annotated,Calcium-transporting ATPase,Not significant
E745S_00745,764.765911600185,-0.00634794064458876,0.843616905977301,-0.00752467215819352,0.99399623691613,1,CDS,lacR_1,Lactose phosphotransferase system repressor,Lactose phosphotransferase system repressor,lacR_1,lacR_1 / Lactose phosphotransferase system repressor,,,annotated,lacR_1 / Lactose phosphotransferase system repressor,Not significant
E745S_00763,628.191821849168,-0.00437628667934994,0.692292465050715,-0.00632144202093742,0.994956252601393,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00763,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00924,299.178220152148,0.00889687264463988,0.685807675595373,0.0129728391227412,0.98964946227819,1,CDS,NA,IS3 family transposase ISEfa8,IS3 family transposase ISEfa8,E745S_00924,IS3 family transposase ISEfa8,,,annotated,IS3 family transposase ISEfa8,Not significant
E745S_00942,48.4951841839625,0.00158954140995113,2.87172504857119,0.00055351448452281,0.99955835936117,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00942,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_00956,1146.6484010346,-0.00937326071529293,0.525220366480743,-0.0178463390102306,0.985761437451835,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_00956,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01007,60.3821756640837,0.0634010246663194,2.48070129140828,0.0255577021247597,0.979610123853942,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_01007,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_01010,1511.69316496773,-0.000351876758898215,0.789412597978259,-0.000445745051192996,0.999644346917376,1,CDS,NA,hypothetical protein,hypothetical protein,E745S_01010,hypothetical protein,,,annotated,hypothetical protein,Not significant
