gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_01279,1206.22140307771,2.19439892578677,0.083658975540676,26.2302868473429,1.19987901055728e-151,9.67547866961843e-151,gene,,,,E745S_01279,,,Up in Serum
E745S_00543,5146.94796399159,1.63678041064678,0.0624301215889799,26.2177995010618,1.66556472416625e-151,1.33935329062098e-150,gene,,,,E745S_00543,,,Up in Serum
E745S_01101,2350.20942708862,1.91767334591211,0.0732925439487396,26.1646443498171,6.71528472978272e-151,5.37038292538393e-150,gene,hit,,,hit,,,Up in Serum
E745S_00270,1298.61634360367,2.04933146580775,0.0792049876098647,25.8737678983301,1.31464521979757e-147,1.04560990022697e-146,gene,,,,E745S_00270,,,Up in Serum
E745S_00752,527.858334138405,3.0793117930775,0.119851660366522,25.6926919799071,1.41074898375808e-145,1.11292419829804e-144,gene,manP_1,,,manP_1,,,Up in Serum
E745S_01988,1706.44356893412,1.84817762272789,0.0722288235957804,25.5878128802289,2.08494050184614e-144,1.63591962287712e-143,gene,eat(A),,,eat(A),,,Up in Serum
E745S_00049,1121.97254972536,2.08661948633662,0.0819413853766156,25.4647816453943,4.84279585496183e-143,3.7896179391919e-142,gene,,,,E745S_00049,,,Up in Serum
E745S_01835,3642.078563633,1.94137906625326,0.076426813340038,25.4018057460499,2.4086349711977e-142,1.87474235325041e-141,gene,dapX,,,dapX,,,Up in Serum
E745S_00947,381.52110955084,3.70031310384591,0.145687835383452,25.3989160735805,2.59236950360828e-142,2.01237003333432e-141,gene,,,,E745S_00947,,,Up in Serum
E745S_00396,873.909929441275,2.12248208658335,0.0843302595750651,25.1686891191656,8.82415201263711e-140,6.79553082243032e-139,gene,xerC_3,,,xerC_3,,,Up in Serum
E745S_02065,4185.72061967307,1.5828248971224,0.0632631544589756,25.0196960720448,3.73258566958133e-138,2.85185220056464e-137,gene,,,,E745S_02065,,,Up in Serum
E745S_00035,8874.86218537012,1.40547274489258,0.0562252151190459,24.9971963987469,6.55796211316477e-138,4.98439365833489e-137,gene,,,,E745S_00035,,,Up in Serum
