,ERR1797972_pass,ERR1797973_pass,ERR1797974_pass,ERR1797969_pass,ERR1797970_pass,ERR1797971_pass
E745S_00428,4864,4743,3945,2682,3525,3110
E745S_00429,900,856,741,418,562,538
E745S_00430,856,1011,893,3825,4367,4272
E745S_00431,540,504,468,2428,2811,2756
E745S_00432,1111,1141,1063,7347,8697,8245
E745S_00433,573,635,564,564,720,611
E745S_00434,1,2,2,4,3,4
E745S_00435,7170,6828,6114,8932,10002,9673
E745S_00436,4172,4121,3777,3916,3932,3655
E745S_00437,2424,2415,2116,2253,2275,2201
E745S_00438,1434,1609,1258,1370,1613,1434
E745S_00439,1097,1017,896,1847,2098,2576
E745S_00440,1022,988,906,1357,1655,2006
E745S_00441,588,543,505,1012,1197,1364
E745S_00442,306,251,209,546,488,708
E745S_00443,346,410,374,1023,1033,1278
E745S_00444,3414,3356,3083,7481,8290,10788
E745S_00445,1024,1070,932,2373,2841,3870
E745S_00446,736,780,685,1664,1857,2538
E745S_00447,619,650,613,1266,1475,2040
E745S_00448,857,836,770,1344,1615,2170
E745S_00449,520,563,471,1202,1365,1856
E745S_00450,4009,4551,3946,4472,4911,4557
E745S_00451,1345,1273,1105,1630,1864,1750
E745S_00452,561,692,667,833,938,821
E745S_00453,1737,1535,1276,1895,2034,2087
E745S_00454,2156,1919,1822,20055,24756,21071
E745S_00455,1731,1754,1652,3353,3782,3335
E745S_00456,1751,1687,1417,1353,1616,1491
E745S_00457,539,491,421,395,397,387
E745S_00458,1827,1833,1610,1478,1786,1647
E745S_00459,1634,1734,1512,1687,2080,1941
E745S_00460,24874,25136,23018,4564,5498,4989
E745S_00461,194,197,200,264,272,265
E745S_00462,12931,12592,11344,5822,6688,6130
E745S_00463,2196,2353,2110,1845,2230,2071
E745S_00464,34,47,40,59,89,81
E745S_00465,106,124,71,51,44,44
E745S_00466,34,34,35,30,30,31
E745S_00467,59,79,70,44,57,48
E745S_00468,16,25,13,25,24,19
E745S_00469,1144,1049,947,789,866,802
E745S_00470,7725,7825,7037,7342,8226,7384
E745S_00471,8678,8530,7731,4901,5608,5095
E745S_00472,5707,7184,6594,4140,5112,4766
E745S_00473,886,923,746,387,452,476
E745S_00474,1003,978,983,250,342,313
E745S_00475,12672,11942,10440,4951,5972,5367
E745S_00477,103,125,107,21,26,22
E745S_00478,2026,1755,1543,2144,2362,2232
E745S_00479,1590,1702,1492,1021,1204,1023
E745S_00480,304,309,278,348,429,356
E745S_00481,120,146,123,177,204,152
E745S_00482,970,924,739,4361,4623,4339
E745S_00483,5943,5949,5061,8192,8699,8667
E745S_00484,1521,1505,1620,1042,1177,1000
E745S_00485,4592,4631,3743,12332,13867,12862
E745S_00486,1033,921,891,241,270,307
E745S_00487,213,256,264,203,289,259
E745S_00488,32373,28743,26060,66759,74741,71972
E745S_00489,1283,1633,1713,1146,1544,1197
E745S_00490,2679,2490,2403,1944,2354,2027
E745S_00491,360,327,356,3142,3699,3660
E745S_00492,7998,7043,6708,1177,1413,1310
